"team","nodes","edges","density","vertex_connectivity","edge_connectivity","num_component","max_component_size","biconnected_components","cohesive_blocks","max_cohesion","cent_indegree","cent_outdegree","cent_inclo","cent_outclo","cent_betw","centr_eigen","walktrap_communities","walktrap_modularity","edge_betweenness_communities","edge_betweenness_modularity","louvain_communities","louvain_modularity","best_modularity","tau_rankedcluster","tau_cluster","tau_balance","season"
"HOU",12,86,0.651515151515151,1,1,1,12,5,3,6,0.380165289256198,0.380165289256198,0.273451860082876,0.278138528138528,0.166942148760331,0.298217301803649,1,0,1,0,3,0.0303703703703704,0.0303703703703704,3.64663099542096,3.69867999750646,1.60606758018864,"2023-24"
"IND",16,114,0.475,0,0,2,15,5,6,8,0.488888888888889,0.488888888888889,NA,NA,0.265058201058201,0.418324024841833,7,0.00834872268390273,2,0,4,0.0506944444444444,0.0506944444444444,8.16564696029526,8.28850152821709,3.09587037912462,"2023-24"
"LAC",13,72,0.461538461538462,0,0,3,11,5,4,6,0.402777777777778,0.3125,NA,NA,0.0976325757575757,0.411744545615922,3,0,4,1.11022302462516e-16,4,0.0110803324099723,0.0110803324099723,9.24654349196638,9.07677222407829,4.84159133991561,"2023-24"
"LAL",11,68,0.618181818181818,3,3,1,11,5,4,5,0.42,0.42,0.296838235294118,0.297377450980392,0.105092592592593,0.342272168776258,1,0,1,0,2,0.0391836734693877,0.0391836734693877,-0.194959420146673,-0.165760916416251,-2.65994219137359,"2023-24"
"MEM",10,66,0.733333333333333,3,3,1,10,5,3,6,0.296296296296296,0.17283950617284,0.244463869463869,0.127853627853628,0.054783950617284,0.232525035113555,2,0.0274334251606979,3,0.00528007346189163,2,0.0882352941176471,0.0882352941176471,3.13114926734075,3.19891174705724,3.47644001936456,"2023-24"
"MIA",13,117,0.75,1,1,1,13,5,3,8,0.270833333333333,0.270833333333333,0.207739236999147,0.211147266877766,0.177194564694565,0.204719995652754,1,0,1,0,2,0.0165277777777777,0.0165277777777777,8.05764807253597,8.03661579914165,7.289537769481,"2023-24"
"MIL",14,95,0.521978021978022,0,0,2,13,5,4,7,0.431952662721893,0.431952662721893,NA,NA,0.136579552925707,0.391224460587137,4,0.00620498614958452,2,0,3,0.0554733727810651,0.0554733727810651,6.44054670212237,6.93421670824215,3.11398583878382,"2023-24"
"MIN",11,85,0.772727272727273,2,2,1,11,5,3,8,0.25,0.25,0.193650793650794,0.199035409035409,0.0903703703703704,0.191327303328489,1,0,1,0,2,0.0113636363636364,0.0113636363636364,5.77457505031848,5.77560251584206,5.34235908739222,"2023-24"
"NOP",12,112,0.848484848484849,2,2,1,12,5,2,9,0.165289256198347,0.165289256198347,0.131722822631914,0.140919686374232,0.0506887052341598,0.125541765350506,1,0,1,0,2,0.00237812128418551,0.00237812128418551,8.94661696473124,8.86801863743978,8.72445133862373,"2023-24"
"NYK",16,100,0.416666666666667,0,0,2,15,5,4,5,0.48,0.48,NA,NA,0.162044847568657,0.4963720194957,4,0.0456000000000001,7,0.0411,4,0.114453542185831,0.114453542185831,3.20643939686236,3.12288003670305,-1.48420318043495,"2023-24"
"OKC",15,96,0.457142857142857,0,0,2,14,5,6,7,0.352040816326531,0.275510204081633,NA,NA,0.210753532182104,0.423916085549378,3,0.109320746527778,3,0.109375,3,0.100406804733728,0.109375,10.2703830340245,10.6736292405721,7.77129829492144,"2023-24"
"ORL",14,112,0.615384615384615,1,1,1,14,5,3,7,0.414201183431953,0.331360946745562,0.293599171285525,0.228735771938087,0.134163877433108,0.32058574203954,2,0.0433673469387755,1,0,2,0.0902983069067455,0.0902983069067455,5.243129509621,5.29610403035447,3.18604739126751,"2023-24"
"PHI",13,83,0.532051282051282,0,0,2,12,5,5,7,0.416666666666667,0.416666666666667,NA,NA,0.15864898989899,0.393910110152149,4,0.00464508636957464,2,0,4,0.0348148148148148,0.0348148148148148,5.76102466933445,6.03627657444221,3.78269198449542,"2023-24"
"PHX",14,88,0.483516483516484,0,0,2,13,5,3,6,0.473372781065089,0.473372781065089,NA,NA,0.238691650230112,0.424398868218598,3,0.0754132231404959,6,0.00322830578512408,3,0.0941602535083748,0.0941602535083748,6.51371456156068,6.15341693401913,2.18372552550982,"2023-24"
"POR",10,69,0.766666666666667,5,5,1,10,5,1,5,0.259259259259259,0.259259259259259,0.215704049037382,0.218682552015885,0.0415564373897707,0.237406765813051,1,0,1,0,2,0.0555555555555556,0.0555555555555556,0.394491746364048,0.545754116861254,0.726763165936633,"2023-24"
"SAC",14,84,0.461538461538462,0,0,2,13,5,6,6,0.497041420118343,0.497041420118343,NA,NA,0.169247205785667,0.44528837589845,3,0.0192743764172336,2,0,3,0.100981404958678,0.100981404958678,4.21297815297363,3.96182824973458,-0.80362891844074,"2023-24"
"SAS",12,99,0.75,2,2,1,12,5,3,7,0.173553719008264,0.173553719008264,0.117232767232767,0.11594370541739,0.0737662337662338,0.192019377612499,1,0,1,0,2,0.0230680507497117,0.0230680507497117,5.1233309514082,5.08798292220693,4.41147790411276,"2023-24"
"TOR",17,113,0.415441176470588,0,0,1,17,5,4,5,0.421875,0.421875,NA,0.284595886898239,0.169027467757937,0.481255427428451,2,0.192340825436604,8,0.0671156707651343,2,0.19500594530321,0.19500594530321,3.91931654686848,3.84303686604541,0.446867235511089,"2023-24"
"UTA",12,103,0.78030303030303,2,2,1,12,5,4,8,0.239669421487603,0.239669421487603,0.189342475706112,0.197363242817788,0.0590672963400236,0.190580383868882,1,0,1,2.22044604925031e-16,2,0.010501957992168,0.010501957992168,4.50789337381078,4.60636128198245,3.37068415024677,"2023-24"
"WAS",15,86,0.40952380952381,0,0,1,15,5,5,6,0.556122448979592,0.403061224489796,NA,0.310336697490997,0.174941130298273,0.479997725216936,4,0.000676041103299066,3,0,3,0.102647569444444,0.102647569444444,5.92899232857606,5.21376548540841,-0.622820821168422,"2023-24"
